bhk,area_sqft,furnishing_status,location_type,mainroad_access,floor_number,parking_spaces,house_age,price
1,1203,Unfurnished,Rural,No,9,2,19,2844648
5,1186,Semi-Furnished,Urban,No,0,3,26,6499644
5,784,Unfurnished,Rural,No,6,2,13,4255935
1,1215,Semi-Furnished,Suburban,No,8,2,2,3994032
4,1262,Unfurnished,Rural,No,1,2,22,4448534
2,1750,Unfurnished,Rural,Yes,9,2,11,5917796
5,1447,Furnished,Urban,No,4,3,7,7653223
1,2928,Semi-Furnished,Urban,Yes,9,1,1,9204868
3,1530,Furnished,Rural,No,3,0,3,5942804
1,528,Furnished,Urban,Yes,5,2,13,3487464
3,1406,Furnished,Urban,No,5,1,15,6388260
4,2626,Semi-Furnished,Urban,No,10,2,18,9226452
2,1069,Semi-Furnished,Rural,Yes,1,2,1,4445589
1,2506,Unfurnished,Urban,No,1,0,11,7021657
5,1953,Furnished,Rural,No,3,0,28,7176623
4,1237,Unfurnished,Urban,No,0,0,13,5582776
1,1015,Furnished,Suburban,Yes,8,2,5,4462822
5,2500,Semi-Furnished,Urban,No,6,2,12,9819112
1,2944,Semi-Furnished,Urban,Yes,6,2,3,9524681
3,538,Semi-Furnished,Rural,No,2,0,21,2765688
1,1386,Furnished,Rural,No,10,3,17,4905985
1,2704,Semi-Furnished,Urban,Yes,2,1,11,8426940
1,1598,Furnished,Suburban,No,0,3,19,5176795
4,2323,Unfurnished,Urban,No,2,2,26,8436716
1,2210,Furnished,Urban,Yes,2,2,21,7244543
5,1473,Unfurnished,Suburban,No,3,3,29,6748892
3,2062,Furnished,Rural,Yes,3,2,20,7198356
3,1488,Unfurnished,Urban,Yes,2,1,18,5996884
1,520,Semi-Furnished,Rural,Yes,9,2,7,2365736
4,2850,Unfurnished,Rural,No,7,1,6,9298683
4,1368,Semi-Furnished,Suburban,Yes,7,3,15,6438450
5,583,Semi-Furnished,Suburban,Yes,0,3,18,4819166
1,2182,Unfurnished,Rural,No,6,2,5,6488070
3,2476,Furnished,Urban,Yes,10,1,19,8788766
4,1910,Furnished,Rural,No,1,2,26,6962113
1,2030,Furnished,Urban,No,0,0,20,6505461
4,1069,Furnished,Urban,No,2,0,10,5346232
4,1433,Furnished,Suburban,No,3,0,4,6398552
3,2480,Semi-Furnished,Urban,Yes,5,0,15,8488978
2,2355,Furnished,Urban,Yes,9,2,6,8732056
5,1292,Semi-Furnished,Rural,Yes,4,0,26,5517469
5,1291,Semi-Furnished,Suburban,Yes,3,1,4,6836053
3,2309,Semi-Furnished,Urban,Yes,7,3,10,9043666
4,1794,Unfurnished,Urban,No,10,3,14,7627287
1,2755,Unfurnished,Suburban,Yes,3,0,2,8097763
4,2107,Semi-Furnished,Rural,Yes,9,0,25,7221239
3,1583,Unfurnished,Suburban,Yes,1,0,4,5962216
5,2977,Furnished,Suburban,No,2,2,22,10896706
4,1484,Furnished,Urban,No,5,3,20,6820100
5,2180,Semi-Furnished,Urban,Yes,7,0,4,8962586
1,1019,Furnished,Rural,No,7,1,8,3570573
5,1090,Semi-Furnished,Urban,Yes,10,0,14,6085772
5,1550,Semi-Furnished,Urban,Yes,8,3,2,7894987
2,2209,Furnished,Suburban,No,6,0,28,6473779
2,2535,Unfurnished,Urban,No,1,3,5,8390918
2,2746,Furnished,Rural,Yes,7,0,16,8228456
5,2934,Furnished,Suburban,Yes,6,1,25,10633618
3,848,Semi-Furnished,Rural,No,7,0,20,3610261
5,1459,Semi-Furnished,Suburban,Yes,2,1,7,7162879
3,2463,Semi-Furnished,Urban,No,6,1,20,8369325
3,1192,Semi-Furnished,Suburban,Yes,9,0,24,4860360
2,2059,Unfurnished,Suburban,No,8,1,10,6599531
4,877,Unfurnished,Urban,Yes,2,2,5,5747014
1,1026,Unfurnished,Urban,Yes,9,0,7,4050262
2,2753,Semi-Furnished,Rural,No,5,0,9,7808673
2,1759,Semi-Furnished,Rural,Yes,1,1,23,5388926
4,2375,Semi-Furnished,Urban,Yes,1,1,28,8538458
1,2263,Unfurnished,Urban,No,4,0,2,7050753
5,1020,Semi-Furnished,Urban,Yes,4,2,22,6325595
5,2201,Furnished,Suburban,Yes,6,1,13,9107972
2,1516,Furnished,Suburban,Yes,1,1,22,5574268
1,1513,Semi-Furnished,Suburban,No,10,3,13,5353886
2,616,Furnished,Urban,No,6,2,9,3763176
3,2933,Furnished,Rural,No,4,2,11,9503553
2,1867,Unfurnished,Urban,Yes,5,0,5,6659751
2,1083,Semi-Furnished,Suburban,Yes,7,2,11,4565829
5,894,Semi-Furnished,Suburban,Yes,9,0,22,5313506
5,1587,Unfurnished,Urban,Yes,3,3,13,7839427
5,571,Furnished,Urban,No,6,2,1,5478894
3,773,Furnished,Suburban,Yes,5,1,8,4538755
5,2513,Semi-Furnished,Suburban,Yes,9,3,9,9944921
1,1843,Furnished,Suburban,Yes,1,0,25,6185174
4,837,Unfurnished,Urban,No,7,3,16,5259351
1,1889,Unfurnished,Suburban,Yes,9,0,16,5747065
1,1106,Semi-Furnished,Suburban,Yes,8,3,2,4597359
5,665,Unfurnished,Rural,Yes,4,0,29,4083931
4,2067,Unfurnished,Urban,Yes,9,2,18,8311098
4,2558,Semi-Furnished,Rural,Yes,3,1,0,9050240
4,1824,Unfurnished,Rural,No,5,0,11,6279287
3,1228,Unfurnished,Suburban,Yes,7,3,6,5583816
5,2543,Unfurnished,Urban,Yes,10,0,3,9263414
4,601,Furnished,Suburban,Yes,2,0,9,4464620
3,1915,Semi-Furnished,Urban,Yes,9,0,12,7249804
2,1278,Semi-Furnished,Rural,Yes,10,3,1,5443533
2,713,Semi-Furnished,Urban,Yes,10,1,9,4056368
3,1611,Furnished,Suburban,Yes,0,2,20,6289707
3,2076,Furnished,Suburban,Yes,3,1,21,7510023
5,2948,Semi-Furnished,Suburban,Yes,3,0,24,10080775
5,2195,Furnished,Urban,Yes,0,3,3,9972181
2,1091,Semi-Furnished,Rural,No,8,1,17,3795689
4,1833,Furnished,Rural,No,2,0,4,7094067
2,1609,Unfurnished,Urban,No,4,2,18,5604323
4,2639,Unfurnished,Suburban,No,5,2,1,9284301
4,1213,Semi-Furnished,Rural,Yes,7,2,11,5339495
5,1435,Furnished,Suburban,No,5,0,16,6707798
1,2451,Furnished,Urban,No,2,3,9,8201274
1,741,Unfurnished,Suburban,Yes,5,1,1,3281661
3,2543,Unfurnished,Rural,No,0,2,5,8057823
5,501,Furnished,Rural,No,3,0,7,4095454
4,2772,Furnished,Suburban,Yes,5,0,28,9790867
1,2268,Furnished,Urban,Yes,6,1,18,7402981
4,2449,Furnished,Suburban,Yes,10,2,10,9350229
1,2663,Furnished,Urban,No,10,0,24,7660274
1,1417,Furnished,Suburban,No,9,1,11,4598847
1,2741,Semi-Furnished,Rural,Yes,2,3,8,8162062
5,589,Furnished,Urban,Yes,8,3,1,6123286
2,2209,Unfurnished,Urban,No,6,3,7,7581243
4,2669,Semi-Furnished,Urban,Yes,0,2,25,9725316
5,642,Furnished,Rural,No,1,1,10,4373622
5,605,Unfurnished,Suburban,Yes,0,1,27,4215548
5,1386,Semi-Furnished,Rural,Yes,10,0,20,6123994
5,927,Unfurnished,Urban,No,8,0,3,5258048
5,1828,Furnished,Suburban,Yes,8,0,9,8246187
3,2395,Furnished,Rural,Yes,6,1,20,7804415
4,2494,Furnished,Urban,Yes,9,0,19,9499380
5,816,Furnished,Urban,No,2,1,15,5336000
4,2486,Semi-Furnished,Rural,Yes,4,1,7,8858768
3,1134,Semi-Furnished,Rural,Yes,3,3,3,5359388
3,2425,Unfurnished,Rural,Yes,6,0,28,7379340
4,2556,Furnished,Urban,Yes,8,3,9,9961114
1,2770,Unfurnished,Rural,Yes,1,2,11,7854909
2,1939,Semi-Furnished,Urban,Yes,7,2,28,6650888
1,1052,Furnished,Rural,No,8,2,13,3519447
1,1215,Furnished,Urban,No,9,1,15,4793382
1,1787,Semi-Furnished,Urban,Yes,9,1,21,6156840
5,2213,Semi-Furnished,Suburban,No,8,1,17,8445536
3,2383,Semi-Furnished,Rural,No,9,0,20,7062538
1,1607,Semi-Furnished,Rural,Yes,6,3,21,5176617
3,1841,Semi-Furnished,Urban,No,8,1,20,6856376
4,610,Furnished,Urban,No,8,3,11,4490936
2,750,Semi-Furnished,Urban,No,2,3,17,4141525
4,2930,Furnished,Suburban,No,3,3,29,9990153
4,2554,Furnished,Suburban,No,1,0,6,9305490
5,958,Semi-Furnished,Urban,No,9,0,19,5295945
2,1607,Semi-Furnished,Rural,No,2,2,23,4422159
4,707,Furnished,Rural,No,10,2,22,4083316
4,1399,Semi-Furnished,Suburban,Yes,10,3,6,6785812
2,521,Semi-Furnished,Suburban,Yes,4,2,8,3004365
2,909,Semi-Furnished,Urban,No,4,3,0,4526800
4,1394,Unfurnished,Rural,No,5,0,25,5536043
2,1014,Furnished,Urban,Yes,6,0,5,4873877
4,1308,Unfurnished,Suburban,No,6,0,5,5716191
4,1373,Semi-Furnished,Rural,No,0,1,21,5232368
5,513,Unfurnished,Rural,Yes,1,3,28,3554439
1,1470,Semi-Furnished,Suburban,Yes,8,0,11,4820948
4,2634,Unfurnished,Urban,Yes,9,3,21,9661879
3,2060,Semi-Furnished,Urban,No,1,2,11,7650024
1,1824,Unfurnished,Rural,No,5,2,9,5157071
1,1766,Unfurnished,Suburban,Yes,10,0,22,5227853
1,2669,Unfurnished,Rural,Yes,10,3,29,7312476
5,1249,Furnished,Suburban,No,0,0,25,5669698
4,1184,Unfurnished,Urban,Yes,2,2,5,6357236
5,2427,Furnished,Suburban,No,1,0,16,8657625
4,2856,Semi-Furnished,Urban,No,2,3,18,9819928
5,1194,Unfurnished,Suburban,Yes,4,2,17,6292836
5,2835,Semi-Furnished,Rural,Yes,10,1,5,10238904
3,806,Semi-Furnished,Urban,No,9,2,23,4343520
5,2489,Unfurnished,Rural,Yes,5,1,18,8533410
2,1161,Furnished,Rural,Yes,8,0,9,4280917
3,1048,Unfurnished,Urban,Yes,10,0,23,4707450
5,811,Semi-Furnished,Urban,Yes,9,3,7,5818321
1,1582,Semi-Furnished,Rural,No,3,1,20,4257194
2,2237,Unfurnished,Rural,No,6,0,23,6262966
2,1254,Furnished,Rural,No,5,1,5,4870461
2,534,Furnished,Rural,No,1,0,20,2251113
3,944,Semi-Furnished,Urban,Yes,9,2,24,5131297
5,2640,Semi-Furnished,Urban,Yes,10,0,29,9437187
5,2482,Furnished,Rural,No,10,3,6,9566890
1,1730,Unfurnished,Suburban,No,10,2,23,4904210
1,852,Semi-Furnished,Suburban,Yes,7,3,0,4041469
2,1402,Furnished,Urban,No,6,2,26,5435449
1,1855,Semi-Furnished,Rural,No,6,1,17,5411582
3,2248,Unfurnished,Rural,Yes,7,3,23,7235112
5,658,Furnished,Urban,No,10,0,27,4930521
2,2477,Semi-Furnished,Suburban,Yes,0,1,24,7706598
1,1456,Unfurnished,Suburban,Yes,0,0,19,4428338
3,2571,Semi-Furnished,Suburban,No,7,2,11,8570729
3,903,Unfurnished,Urban,Yes,3,2,15,4688365
1,1015,Unfurnished,Suburban,No,4,0,9,3254680
5,1887,Furnished,Urban,Yes,7,0,26,8184970
1,1455,Unfurnished,Urban,No,4,1,9,4955748
2,2699,Semi-Furnished,Rural,No,9,0,13,7704401
1,2212,Unfurnished,Suburban,No,3,3,24,6559598
3,1107,Unfurnished,Urban,Yes,5,3,19,5622201
1,2967,Furnished,Suburban,Yes,4,0,9,8627375
5,1773,Unfurnished,Suburban,No,6,3,9,7776254
4,2035,Unfurnished,Rural,Yes,9,0,25,6650232
1,2882,Semi-Furnished,Suburban,No,6,1,24,8092571
5,1941,Furnished,Rural,No,3,3,10,8126447
5,2297,Furnished,Urban,Yes,4,3,22,9370236
3,794,Furnished,Suburban,No,2,0,1,4283595
5,1254,Unfurnished,Urban,Yes,3,3,24,6611300
5,1894,Furnished,Suburban,No,3,2,19,7803246
5,685,Unfurnished,Urban,Yes,2,1,7,5592670
5,1769,Unfurnished,Suburban,No,9,1,29,6761764
2,1136,Semi-Furnished,Suburban,No,4,3,22,4288724
2,1791,Semi-Furnished,Suburban,Yes,4,3,28,6282638
3,1029,Semi-Furnished,Suburban,No,10,2,6,4989617
1,2568,Semi-Furnished,Suburban,No,6,2,7,7651670
5,1293,Semi-Furnished,Suburban,Yes,3,3,0,7315774
1,2647,Unfurnished,Suburban,No,3,3,20,7673695
1,977,Unfurnished,Suburban,Yes,8,2,1,3486857
3,2122,Furnished,Suburban,No,5,0,17,7159106
5,1439,Unfurnished,Urban,Yes,3,2,14,7105131
5,1025,Unfurnished,Rural,No,1,0,0,5158372
4,2881,Semi-Furnished,Suburban,No,5,1,4,9347536
1,501,Unfurnished,Rural,No,1,1,1,2392301
1,874,Semi-Furnished,Suburban,Yes,4,2,19,3611205
2,2840,Furnished,Suburban,Yes,5,0,2,9189775
4,1052,Furnished,Urban,Yes,3,2,18,6306313
2,2865,Unfurnished,Urban,Yes,2,2,17,9691230
2,2025,Furnished,Rural,No,6,0,28,6076649
2,2351,Unfurnished,Urban,No,1,2,21,7747262
3,880,Furnished,Urban,Yes,10,1,17,5036138
3,2146,Semi-Furnished,Rural,Yes,5,3,13,7526694
2,513,Semi-Furnished,Urban,Yes,3,3,29,3357340
4,1003,Semi-Furnished,Suburban,No,5,2,23,4782277
1,2778,Semi-Furnished,Rural,Yes,3,0,7,7667597
4,2508,Unfurnished,Rural,Yes,3,0,28,7739888
5,629,Furnished,Suburban,No,3,1,29,4427325
3,1337,Unfurnished,Urban,No,8,0,11,5085566
1,2540,Semi-Furnished,Rural,Yes,6,0,20,6988183
1,527,Unfurnished,Rural,No,2,1,9,1780233
5,2613,Furnished,Suburban,Yes,2,2,22,10021887
5,1752,Unfurnished,Suburban,No,5,3,19,7245573
2,760,Furnished,Urban,Yes,5,1,16,4845372
3,2546,Unfurnished,Rural,Yes,3,2,10,8537023
3,1972,Furnished,Urban,Yes,8,1,1,7811091
4,1947,Furnished,Urban,Yes,3,2,25,8214073
2,959,Semi-Furnished,Suburban,No,8,1,25,3525898
2,800,Furnished,Rural,No,3,2,3,3437104
2,2834,Semi-Furnished,Rural,No,1,1,0,8166985
2,1129,Semi-Furnished,Rural,No,1,2,14,4128943
3,769,Semi-Furnished,Suburban,Yes,4,1,12,4096223
3,2493,Unfurnished,Suburban,Yes,3,3,7,8936065
2,2128,Unfurnished,Suburban,No,6,3,24,6888756
4,2301,Unfurnished,Suburban,No,10,0,3,8367282
1,1361,Unfurnished,Suburban,No,4,2,9,4252022
1,1780,Furnished,Rural,No,5,1,18,5235073
4,2680,Furnished,Urban,No,9,2,17,9986490
2,2299,Unfurnished,Rural,Yes,3,3,4,7322664
3,2206,Furnished,Urban,Yes,1,2,29,8080645
1,2860,Furnished,Suburban,Yes,9,1,18,8861904
5,1075,Semi-Furnished,Urban,No,8,2,25,6032999
5,2503,Semi-Furnished,Rural,No,9,1,22,8794693
4,1807,Semi-Furnished,Rural,No,6,3,26,6483084
2,2456,Semi-Furnished,Urban,No,3,3,21,7926143
1,2520,Furnished,Suburban,Yes,2,3,15,7936110
2,2712,Unfurnished,Suburban,Yes,9,0,0,8455195
1,2852,Furnished,Rural,No,2,3,11,8047155
4,2155,Furnished,Urban,Yes,8,2,23,8725531
4,2079,Furnished,Suburban,Yes,4,0,1,7939798
5,2347,Semi-Furnished,Suburban,No,2,3,20,8793490
2,2703,Semi-Furnished,Rural,No,4,2,24,7911682
5,1890,Semi-Furnished,Suburban,No,1,2,7,8105758
2,2242,Unfurnished,Urban,No,10,2,17,7286624
5,2425,Furnished,Rural,No,3,1,24,8428947
3,1119,Unfurnished,Rural,No,9,0,15,3792019
3,1774,Semi-Furnished,Urban,Yes,1,2,4,7380346
3,1456,Unfurnished,Rural,Yes,1,1,25,5218903
3,2439,Furnished,Suburban,No,7,3,29,8453149
1,2881,Furnished,Suburban,Yes,0,2,21,8583193
3,1468,Semi-Furnished,Urban,No,6,1,12,5849301
4,1816,Semi-Furnished,Suburban,No,4,2,18,7133568
4,1543,Unfurnished,Urban,No,10,0,28,5932793
1,781,Semi-Furnished,Urban,No,7,0,2,3308849
3,2666,Semi-Furnished,Suburban,Yes,0,3,25,9280055
3,1558,Furnished,Urban,No,10,2,7,6920423
3,697,Semi-Furnished,Suburban,Yes,6,1,26,3804094
5,1582,Semi-Furnished,Rural,No,4,3,25,6350616
2,1684,Furnished,Rural,No,3,2,25,5452279
5,1508,Furnished,Urban,No,6,3,11,7912531
2,1729,Unfurnished,Suburban,Yes,9,1,1,6077373
3,1535,Semi-Furnished,Suburban,No,1,3,10,6457722
3,989,Furnished,Rural,No,0,3,11,4861049
5,775,Unfurnished,Rural,No,0,3,27,4680246
5,2789,Unfurnished,Suburban,Yes,10,2,17,10193548
2,1739,Semi-Furnished,Urban,Yes,0,1,12,6674978
4,1774,Semi-Furnished,Rural,Yes,4,0,4,7137837
2,625,Unfurnished,Urban,No,9,2,21,3331978
5,716,Furnished,Urban,Yes,6,0,11,5469753
5,1708,Unfurnished,Rural,No,1,0,1,6660291
1,1746,Semi-Furnished,Urban,Yes,9,2,4,6432710
5,2974,Furnished,Urban,Yes,7,2,6,11356887
1,1418,Furnished,Suburban,No,3,1,25,4466348
4,1817,Unfurnished,Urban,Yes,2,1,25,7511809
2,2698,Semi-Furnished,Suburban,No,9,3,23,7896749
2,2931,Unfurnished,Rural,No,10,0,11,8414396
1,2161,Unfurnished,Rural,Yes,7,1,15,6276974
2,807,Unfurnished,Suburban,No,1,3,22,3335547
5,1859,Furnished,Rural,No,10,1,7,7666178
3,2469,Furnished,Urban,Yes,10,2,29,8893129
1,1391,Semi-Furnished,Urban,Yes,2,1,27,5133498
2,874,Semi-Furnished,Urban,No,2,0,8,4221536
1,2533,Unfurnished,Rural,Yes,9,1,14,6722485
1,1864,Unfurnished,Urban,No,10,0,4,5997452
3,628,Unfurnished,Rural,No,0,2,12,3088874
5,1514,Semi-Furnished,Urban,Yes,5,0,4,7521566
1,2299,Furnished,Suburban,Yes,1,1,10,7151865
2,1881,Furnished,Rural,Yes,0,3,9,7022127
4,1016,Unfurnished,Rural,Yes,1,2,19,4968012
1,2018,Unfurnished,Urban,No,5,1,12,6107045
1,585,Unfurnished,Rural,No,3,2,8,1835577
3,1698,Unfurnished,Rural,Yes,5,2,20,5867865
5,2858,Semi-Furnished,Suburban,Yes,8,1,13,10521900
4,1642,Furnished,Suburban,No,9,1,17,6763041
2,2974,Unfurnished,Urban,No,9,3,14,9655626
4,2493,Semi-Furnished,Suburban,No,7,2,9,9110483
2,2661,Unfurnished,Urban,No,0,2,23,8486413
5,802,Unfurnished,Urban,Yes,7,1,6,5700371
2,1087,Furnished,Urban,No,8,0,7,4499640
3,1486,Unfurnished,Rural,No,5,1,27,4785860
3,2363,Furnished,Suburban,Yes,9,2,2,8979517
3,844,Furnished,Urban,No,4,1,14,4669695
3,1313,Furnished,Suburban,No,5,3,15,5833118
4,2487,Semi-Furnished,Urban,Yes,5,0,3,9393750
5,1810,Semi-Furnished,Suburban,Yes,8,1,20,7469037
2,2499,Furnished,Suburban,Yes,3,3,5,8672831
2,2177,Unfurnished,Urban,No,1,2,0,7604309
3,1827,Furnished,Rural,No,10,1,3,6426362
3,1592,Unfurnished,Suburban,Yes,10,2,10,6232857
1,2908,Furnished,Rural,Yes,8,3,11,8512107
5,1509,Unfurnished,Rural,No,1,2,25,6296348
4,1203,Semi-Furnished,Urban,Yes,9,3,28,6138608
2,1074,Unfurnished,Urban,Yes,8,3,4,5445551
1,2108,Furnished,Urban,Yes,1,3,22,7585749
1,1612,Semi-Furnished,Suburban,No,7,1,28,4703790
2,1187,Unfurnished,Urban,No,8,2,20,4465810
4,988,Unfurnished,Urban,No,9,2,15,4852820
1,1847,Unfurnished,Suburban,No,8,0,12,4983092
1,993,Unfurnished,Suburban,No,9,0,12,2867733
5,2167,Unfurnished,Urban,No,8,0,16,8673193
4,2137,Semi-Furnished,Urban,Yes,1,0,26,8145664
1,518,Semi-Furnished,Urban,No,3,2,6,3052920
4,2944,Semi-Furnished,Urban,No,6,3,7,10225915
2,1500,Semi-Furnished,Rural,Yes,1,3,12,5220406
3,1350,Furnished,Rural,No,0,1,22,5162415
1,1888,Semi-Furnished,Urban,No,2,3,26,6207354
5,1854,Unfurnished,Rural,Yes,3,2,15,7405558
2,1867,Unfurnished,Suburban,Yes,7,2,29,6200468
4,1321,Semi-Furnished,Rural,Yes,5,2,28,5869659
2,954,Unfurnished,Rural,No,10,1,3,3430791
1,2124,Semi-Furnished,Urban,Yes,1,0,7,6983873
4,1210,Unfurnished,Rural,No,8,3,15,5213519
3,2690,Furnished,Rural,No,1,2,20,9003421
2,1416,Furnished,Rural,No,4,2,9,4640128
1,1996,Semi-Furnished,Rural,No,3,0,24,5346644
5,1940,Semi-Furnished,Suburban,Yes,6,2,11,8307039
4,804,Semi-Furnished,Urban,Yes,7,3,11,5653354
2,1235,Unfurnished,Urban,No,4,1,25,4406025
2,2838,Semi-Furnished,Suburban,Yes,9,2,4,9205206
3,2463,Furnished,Rural,No,4,3,15,8349782
3,2649,Unfurnished,Suburban,No,1,2,0,9445082
5,2509,Semi-Furnished,Rural,No,7,0,27,8594107
5,1461,Unfurnished,Suburban,Yes,1,2,8,6822886
1,1526,Unfurnished,Urban,No,9,2,11,5110248
1,2632,Semi-Furnished,Urban,No,5,1,4,8059317
5,2875,Unfurnished,Urban,Yes,7,0,21,10008371
5,1973,Furnished,Rural,Yes,5,0,19,7686481
4,2447,Furnished,Rural,Yes,3,1,21,8694065
3,1677,Unfurnished,Suburban,Yes,3,2,27,5897653
1,1164,Semi-Furnished,Suburban,No,5,3,23,4209696
3,511,Unfurnished,Urban,Yes,3,0,2,3935054
3,1656,Furnished,Rural,No,7,0,4,5813153
5,803,Unfurnished,Suburban,Yes,8,2,1,5459194
4,2263,Unfurnished,Rural,Yes,0,2,13,8317164
2,542,Furnished,Rural,Yes,3,0,1,3181709
4,1443,Unfurnished,Urban,Yes,3,2,12,6769256
4,2890,Unfurnished,Urban,Yes,1,3,6,10607463
3,1849,Semi-Furnished,Rural,Yes,5,0,9,6457821
4,2911,Semi-Furnished,Rural,No,2,3,12,9585147
1,1390,Furnished,Rural,Yes,6,3,15,4404050
3,2974,Furnished,Rural,Yes,10,2,25,9843435
1,1504,Furnished,Urban,Yes,10,3,13,5981064
2,520,Semi-Furnished,Suburban,Yes,4,2,10,3379629
3,906,Furnished,Urban,No,3,1,9,4923418
2,1514,Furnished,Suburban,Yes,4,2,5,5937976
3,835,Furnished,Rural,Yes,7,3,3,4640315
5,2338,Semi-Furnished,Suburban,Yes,2,1,20,8675121
4,1647,Unfurnished,Urban,Yes,6,2,0,7972917
5,2946,Furnished,Urban,No,5,3,6,11148097
2,2327,Unfurnished,Rural,Yes,0,0,23,6451106
4,1214,Furnished,Urban,No,6,0,8,5986948
3,550,Unfurnished,Rural,Yes,6,2,7,3592615
4,823,Semi-Furnished,Urban,No,0,2,4,5280401
1,1288,Semi-Furnished,Urban,No,8,0,18,4112772
4,640,Furnished,Rural,Yes,5,3,9,4820867
1,969,Unfurnished,Suburban,Yes,1,3,10,4018700
4,1286,Semi-Furnished,Urban,No,4,3,24,6292686
1,2325,Furnished,Suburban,No,10,2,14,7275646
2,1857,Furnished,Urban,Yes,3,1,5,7671372
5,2416,Semi-Furnished,Urban,No,6,1,14,9847018
3,1463,Semi-Furnished,Urban,No,7,1,4,6090156
4,872,Furnished,Urban,No,10,1,28,5294776
5,2192,Unfurnished,Suburban,Yes,10,1,18,8546633
3,1679,Unfurnished,Suburban,No,0,2,21,6077319
3,2838,Unfurnished,Urban,No,4,2,18,8996545
1,2171,Furnished,Urban,No,2,1,9,7063422
2,605,Semi-Furnished,Suburban,Yes,0,2,11,3329935
2,1943,Furnished,Rural,Yes,2,2,21,6603111
5,2181,Semi-Furnished,Rural,No,5,1,3,8456716
2,501,Unfurnished,Suburban,Yes,6,3,17,2647602
4,2637,Unfurnished,Urban,No,7,2,15,9388093
2,849,Semi-Furnished,Urban,Yes,10,3,7,4956872
5,1786,Semi-Furnished,Rural,Yes,3,2,3,7667664
2,1562,Furnished,Rural,No,2,2,24,5270812
4,2706,Unfurnished,Suburban,Yes,4,1,22,9245233
1,2859,Furnished,Rural,Yes,8,2,11,8495832
5,944,Furnished,Suburban,Yes,5,0,1,5885737
1,2845,Furnished,Rural,No,8,0,3,7709183
1,1451,Unfurnished,Rural,Yes,5,1,4,4273193
1,535,Furnished,Rural,Yes,1,3,2,3089370
3,1607,Furnished,Urban,No,4,3,8,7011391
3,1975,Furnished,Urban,Yes,10,3,28,7799797
1,2298,Furnished,Urban,Yes,8,0,20,7260221
5,2345,Furnished,Rural,Yes,7,3,17,9111462
4,1908,Furnished,Suburban,Yes,6,3,10,8329382
4,1695,Unfurnished,Suburban,Yes,0,1,2,6980451
2,1899,Furnished,Suburban,No,3,3,29,6149287
5,2208,Semi-Furnished,Suburban,No,6,0,24,8288730
3,1885,Furnished,Urban,Yes,10,0,22,7231524
1,2688,Furnished,Urban,Yes,6,0,1,8706279
2,1800,Unfurnished,Rural,Yes,5,1,8,6111515
4,1743,Unfurnished,Rural,No,7,1,13,6243387
3,1020,Semi-Furnished,Suburban,No,10,2,3,4947836
3,2306,Semi-Furnished,Urban,Yes,5,3,28,8219215
1,509,Unfurnished,Suburban,Yes,9,1,8,2418566
4,1483,Unfurnished,Rural,No,2,0,12,5589405
5,2925,Furnished,Rural,Yes,3,0,17,9861425
3,2156,Unfurnished,Suburban,No,2,1,14,7200169
1,2160,Semi-Furnished,Rural,No,0,1,27,5730158
5,2699,Furnished,Suburban,Yes,9,1,9,10325757
4,1219,Semi-Furnished,Urban,No,4,2,15,6254931
3,1572,Furnished,Suburban,Yes,0,0,11,6376887
5,1358,Unfurnished,Urban,Yes,0,2,19,7210614
5,1816,Semi-Furnished,Urban,Yes,1,2,4,8361282
5,2103,Furnished,Rural,Yes,3,3,1,8914684
3,549,Furnished,Rural,Yes,5,0,9,3409393
3,645,Unfurnished,Rural,Yes,7,0,0,3198649
2,1414,Unfurnished,Suburban,No,2,1,6,5156259
4,1962,Unfurnished,Suburban,No,0,1,25,7419934
1,2789,Semi-Furnished,Rural,No,2,3,16,7799098
5,1080,Furnished,Suburban,No,2,2,15,6101004
2,2084,Unfurnished,Rural,Yes,4,1,26,6156903
1,982,Semi-Furnished,Suburban,No,10,1,26,3042283
2,1749,Semi-Furnished,Urban,No,3,0,23,5548347
3,1172,Semi-Furnished,Urban,No,3,0,2,5248845
5,1130,Unfurnished,Rural,Yes,8,1,13,5236608
1,1161,Unfurnished,Suburban,No,6,0,9,3963320
1,2966,Furnished,Suburban,Yes,3,3,21,9021978
1,1487,Furnished,Urban,No,2,1,6,5378316
1,2046,Unfurnished,Urban,Yes,5,0,25,6392830
1,1149,Semi-Furnished,Rural,Yes,2,3,16,3778149
2,1468,Semi-Furnished,Urban,No,5,0,29,4936627
5,1600,Semi-Furnished,Rural,Yes,10,0,5,6913614
3,940,Furnished,Urban,Yes,10,0,22,5115753
3,1420,Semi-Furnished,Urban,No,8,1,21,5880337
3,1269,Furnished,Suburban,No,5,2,3,5762165
3,1843,Furnished,Urban,No,3,0,16,7003123
2,2326,Semi-Furnished,Urban,Yes,4,3,26,8125047
4,762,Semi-Furnished,Rural,Yes,5,1,8,4435330
5,2077,Unfurnished,Urban,Yes,10,1,3,8676505
1,1498,Unfurnished,Rural,No,2,3,6,4584215
4,1199,Semi-Furnished,Urban,Yes,7,0,22,5642762
3,2849,Furnished,Urban,Yes,3,2,1,10418716
4,2103,Furnished,Rural,Yes,7,0,16,7541370
5,1741,Furnished,Suburban,Yes,9,3,23,8450376
1,1625,Furnished,Rural,Yes,9,1,7,5264521
